人物,出现次数
斯佳丽,3042
瑞德,1232
艾希礼,1065
塔拉,551
皮特,421
杰拉尔,377
弗兰克,362
韦德,254
威尔,236
米德,215
普里,183
尔顿,179
梅里,176
韦瑟,173
苏埃伦,165
查尔斯,156
邦尼,151
彼得,123
阿奇,117
埃伦,113
埃尔辛,109
卡琳,100
琼斯,98
博罗,97
肯尼迪,88
贝尔,83
查尔斯顿,82
斯图尔特,75
汉密尔顿,75
舍曼,67
亨利,66
帕特,63
卡尔,63
托尼,58
南方人,57
爱尔兰,54
萨凡纳,54
布伦特,53
梅肯,52
霍尼,51
小博,48
无赖汉,48
约翰斯顿,47
埃拉,46
方丹,45
萨姆,45
斯莱特,40
梅贝尔,40
李将军,38
新奥尔良,37
勒内,37
约翰尼,36
凯德,34
乔纳斯,34
拉德,33
汤米,33
布洛克,30
马鞍,28
威士忌,28
田野,27
荣誉,27
埃米,27
范妮,27
马匹,26
菲尔,26
特维尔,25
华丽,25
毛巾,25
克森,25
萨莉,25
庄园,24
加勒,24
汤姆,23
费耶,23
吉姆,23
伯恩,23
胡德,23
格尔,23
查利,22
麦克,22
米切尔,22
希尔顿,19
博伊德,18
詹姆斯,17
凯特,17
老处女,16
克拉克,16
林肯,15
华尔兹,15
汉普顿,15
阿特,14
尤拉莉,14
塔夫绸,14
凉亭,14
文明,13
戴维斯,13
威利,13
光荣,13
维尔,13
庄园主,12
萨姆特,12
洛夫,12
马刺,12
雪松,12
安德鲁,12
斯维尔,12
多利,12
钱财,12
雷狄,12
门第,11
菲利普,11
米特,11
赫蒂,11
麦克雷,11
明顿,11
达西,11
克里奥尔,11
封锁,11
道德,11
约翰逊,11
爱慕,10
友谊,10
祖先,10
南军,10
施舍,9
智慧,9
宝贵,9
唐突,9
慈爱,9
田纳西,9
达拉斯,9
威廉,9
连衣裙,9
克莱顿,8
奥古斯塔,8
乔伊,8
保姆,8
檀木,8
托什,8
胡桃,8
媚兰,8
凯里,8
布朗,8
米勒,8
弗里,8
马背,7
埃布尔,7
单身汉,7
罗伯特,7
玉米饼,7
常春藤,7
小提琴,7
洛雷纳,7
宝石,7
迪克,7
奎宁,7
维克斯,7
莫斯,7
宾客,7
阿姨,7
马车夫,7
罗莎,6
修道院,6
孔雀,6
耶稣,6
谷仓,6
斯蒂芬斯,6
荣耀,6
杰克逊,6
里斯特,6
马里兰,6
玉米粉,6
静默,6
索山,6
和亨利,6
兰德尔,6
克伦威尔,6
醉汉,6
巴特,6
沃特,6
翠绿,5
博勒,5
加德,5
肯塔基,5
春耕,5
布拉德,5
费尔,5
希尔,5
老先生,5
天亮,5
凯蒂,5
萨拉托,5
贝齐,5
小镇,5
花环,5
暴风雨,5
亚麻布,5
鬼混,5
斯巴达,5
杰布,5
小兔子,5
伯尔,5
通信兵,5
山里人,5
叶子,5
塔尔博特,5
斯蒂夫,5
鲍勃,5
和睦,5
戈登,5
卡罗,4
安格斯,4
托比,4
黎明,4
罗来纳,4
路易斯安那,4
爱戴,4
玛丽亚,4
杰克,4
钟爱,4
金灿灿,4
花岗石,4
马镫,4
马驹,4
马勒,4
斯滕托,4
马来,4
和托尼,4
萨克雷,4
巴掌,4
爱抚,4
米诺斯,4
马撒,4
莱登,4
饶舌,4
关怀,4
高昂,4
瓦伊,4
灵敏,4
毛瑟枪,4
雷福德,4
托马斯,4
大胡子,4
伯尔家,4
罗克岛,4
安德森,4
仁慈,4
克斯,4
安危,4
张嘴,4
王子,4
白粉墙,4
马拉,4
凯撒,4
白痴,4
班卓琴,4
爱国志士,4
崇高,4
沙利文,4
贞洁,4
惠斯特,4
亨登,4
拉乌尔,4
蓝丝绒,4
木兰花,3
马夫,3
弗林特,3
燕子,3
塞米奴,3
苍翠,3
默契,3
杰姆,3
马缰绳,3
连珠炮,3
朗姆,3
查塔,3
拉基,3
阿莫斯,3
夸口,3
公正,3
张罗,3
姜黄,3
朴素,3
塞满,3
小山坡,3
清香,3
波涛,3
布伦兹,3
维克,3
和梅,3
屠夫,3
山羊皮,3
云鬓,3
狄更斯,3
玛丽,3
司令官,3
玛瑙,3
小溪,3
陈年,3
小老头,3
比尔,3
权威,3
佩斯利,3
山羊胡子,3
小儿子,3
萨拉,3
仲夏,3
秋海棠,3
徐缓,3
凯旋,3
奥克兰,3
敬仰,3
霍普,3
静谧,3
孤儿,3
马尔斯,3
黑眼珠,3
弗雷德里克,3
矫健,3
雷声,3
安逸,3
浅笑,3
多诺,3
道谢,3
红光,3
林荫大道,3
慈祥,3
黑洞洞,3
岑寂,3
利剑,3
林荫道,3
冷笑,3
小学生,3
阴冷,3
萨斯,3
蒲式耳,3
富丽堂皇,3
付清,3
韦瑟家,3
卡尔顿,3
祝福,3
凯尔,3
那宝贝,3
过媚兰,3
老家伙,3
丽贝卡,3
衣冠楚楚,3
弗莱,3
厄蒂,3
吉勒,3
非常明显,3
沃什,3
史诗,3
三世,3
白昼,2
田畦,2
小憩,2
施礼,2
扬鞭,2
老鹰,2
米思郡,2
拉拉,2
波旁,2
满以为,2
卡罗琳,2
艾琳,2
埃莉诺,2
波士顿,2
连塔尔,2
埃文,2
小方丹,2
张嘴巴,2
博伊恩,2
小弟弟,2
谈州权,2
蓬勃,2
苏格兰人,2
妙龄,2
许配给,2
皮埃尔,2
花岗岩,2
沙滩,2
沃土,2
老爱,2
新娘子,2
沙沙声,2
古奥,2
单相思,2
高峰,2
胡桃木,2
